pid,processName,operationName,eventDirection,fileName,sourceIp,sourcePort,destinationIp,destinationPort,protocol,timeNanoSec
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.pressure,,,,,,1669702250.402999877
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.pressure,,,,,,1669702250.403024723
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.pressure,,,,,,1669702250.403063175
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.pressure,,,,,,1669702250.403064987
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.current,,,,,,1669702250.403172543
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.current,,,,,,1669702250.403178636
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.current,,,,,,1669702250.403186667
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.current,,,,,,1669702250.403188113
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.min,,,,,,1669702250.403242625
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.min,,,,,,1669702250.403247462
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.min,,,,,,1669702250.403253245
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.min,,,,,,1669702250.403254658
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.low,,,,,,1669702250.403305034
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.low,,,,,,1669702250.403309622
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.low,,,,,,1669702250.403315226
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.low,,,,,,1669702250.403316648
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.swap.current,,,,,,1669702250.403367585
76303,systemd-oomd,read,>,/sys/fs/cgroup/user.slice/user-1000.slice/user@1000.service/memory.swap.current,,,,,,1669702250.403372001
